Fecha;Sigla Empresa;Nombre;Origen;Nombre;Ciudad Origen;Departamento Origen;Pais Origen;Continente Origen;Destino;Nombre;Ciudad Destino;Departamento Destino;Pais Destino;Continente Destino;Tipo de Equipo;Tipo Vuelo;Tr fico;N£mero de Vuelos;Horas Bloque;Sillas Ofrecidas;Pasajeros A Bordo;Pasajeros Tr nsito;Carga Ofrecida (Kg.);Carga + Correo A Bordo (Kg.);Carga Tr nsito (Kg.)
01-ene-22 00:00:00;0EC;SAE;A01;SAE;INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;IDA;CESAR GAVIRIA TRUJILLO;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;C207;T;N;1;0,58;0;0;0;0;0;0
01-ene-22 00:00:00;0EC;SAE;A02;SAE;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;IDA;CESAR GAVIRIA TRUJILLO;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;C207;T;N;1;0,67;0;5;0;0;45;0
01-ene-22 00:00:00;0EC;SAE;A06;SAE;EL ENCANTO;AMAZONAS;COLOMBIA;SURAMERICA;LET;LETICIA-ALFREDO VASQUEZ COBO;LETICIA;AMAZONAS;COLOMBIA;SURAMERICA;C207;T;N;1;2,08;0;1;0;0;13;0
01-ene-22 00:00:00;0EC;SAE;A09;SAE;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;IDA;CESAR GAVIRIA TRUJILLO;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;C207;T;N;1;1;0;3;0;0;45;0
01-ene-22 00:00:00;0EC;SAE;BEN;SAE;BOGOTA;DISTRITO CAPITAL;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;P28A;T;N;1;2;0;3;0;0;33;0
01-ene-22 00:00:00;0EC;SAE;BMG;SAE;GUAINIA (BARRANCO MINAS);GUAINIA;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;P28A;T;N;1;1,83;0;3;0;0;30;0
01-ene-22 00:00:00;0EC;SAE;CRU;SAE;CARURU;VAUPES;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;C207;T;N;1;1,75;0;3;0;0;0;0
01-ene-22 00:00:00;0EC;SAE;EYP;SAE;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;PIM;LA PRIMAVERA;LA PRIMAVERA;VICHADA;COLOMBIA;SURAMERICA;P28A;T;N;1;1;0;0;0;0;27;0
01-ene-22 00:00:00;0EC;SAE;EYP;SAE;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;P28A;T;N;1;0,75;0;0;0;0;15;0
01-ene-22 00:00:00;0EC;SAE;GYM;SAE;CHIA;CUNDINAMARCA;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;P28A;T;N;1;0,67;0;0;0;0;30;0
01-ene-22 00:00:00;0EC;SAE;IDA;SAE;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;A01;CAMPO ALEGRE;INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;C207;T;N;1;0,75;0;6;0;0;45;0
01-ene-22 00:00:00;0EC;SAE;IDA;SAE;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;A09;PUNTA TIGRE;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;C207;T;N;1;1;0;1;0;0;10;0
01-ene-22 00:00:00;0EC;SAE;IDA;SAE;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;CRU;CARURU;CARURU;VAUPES;COLOMBIA;SURAMERICA;C207;T;N;1;1,42;0;1;0;0;0;0
01-ene-22 00:00:00;0EC;SAE;IDA;SAE;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;C207;T;N;1;2,5;0;4;0;0;45;0
01-ene-22 00:00:00;0EC;SAE;LCH;SAE;LA CHORRERA;AMAZONAS;COLOMBIA;SURAMERICA;TAP;TARAPACA;LETICIA;AMAZONAS;COLOMBIA;SURAMERICA;C207;T;N;1;1,17;0;2;0;0;0;0
01-ene-22 00:00:00;0EC;SAE;LET;SAE;LETICIA;AMAZONAS;COLOMBIA;SURAMERICA;LPD;LA PEDRERA;LA PEDRERA;AMAZONAS;COLOMBIA;SURAMERICA;C207;T;N;1;1,08;0;3;0;0;0;0
01-ene-22 00:00:00;0EC;SAE;LET;SAE;LETICIA;AMAZONAS;COLOMBIA;SURAMERICA;MVP;MITU;MITU;VAUPES;COLOMBIA;SURAMERICA;C207;T;N;1;2,67;0;1;0;0;13;0
01-ene-22 00:00:00;0EC;SAE;LPD;SAE;LA PEDRERA;AMAZONAS;COLOMBIA;SURAMERICA;MVP;MITU;MITU;VAUPES;COLOMBIA;SURAMERICA;C207;T;N;1;1;0;1;0;0;15;0
01-ene-22 00:00:00;0EC;SAE;MFS;SAE;MIRAFLORES - GUAVIARE;GUAVIARE;COLOMBIA;SURAMERICA;SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;SAN JOSE DEL GUAVIARE;GUAVIARE;COLOMBIA;SURAMERICA;C207;T;N;2;1,34;0;5;0;0;25;0
01-ene-22 00:00:00;0EC;SAE;MVP;SAE;MITU;VAUPES;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;C207;T;N;2;3,58;0;2;0;0;13;0
01-ene-22 00:00:00;0EC;SAE;PCE;SAE;PUERTO CARRENO;VICHADA;COLOMBIA;SURAMERICA;PCR;GERMAN OLANO;PUERTO CARRENO;VICHADA;COLOMBIA;SURAMERICA;C207;T;N;1;1;0;4;0;0;45;0
01-ene-22 00:00:00;0EC;SAE;PCE;SAE;PUERTO CARRENO;VICHADA;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;C207;T;N;1;1,5;0;2;0;0;13;0
01-ene-22 00:00:00;0EC;SAE;PCE;SAE;PUERTO CARRENO;VICHADA;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;P28A;T;N;1;2;0;2;0;0;27;0
01-ene-22 00:00:00;0EC;SAE;PCR;SAE;PUERTO CARRENO;VICHADA;COLOMBIA;SURAMERICA;IDA;CESAR GAVIRIA TRUJILLO;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;C207;T;N;1;0,92;0;2;0;0;45;0
01-ene-22 00:00:00;0EC;SAE;PCR;SAE;PUERTO CARRENO;VICHADA;COLOMBIA;SURAMERICA;PIM;LA PRIMAVERA;LA PRIMAVERA;VICHADA;COLOMBIA;SURAMERICA;P28A;T;N;1;1,33;0;0;0;0;0;0
01-ene-22 00:00:00;0EC;SAE;PCR;SAE;PUERTO CARRENO;VICHADA;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;P28A;T;N;1;3;0;2;0;0;27;0
01-ene-22 00:00:00;0EC;SAE;PIM;SAE;LA PRIMAVERA;VICHADA;COLOMBIA;SURAMERICA;EYP;EL YOPAL;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;P28A;T;N;1;1;0;0;0;0;0;0
01-ene-22 00:00:00;0EC;SAE;PIM;SAE;LA PRIMAVERA;VICHADA;COLOMBIA;SURAMERICA;PCR;GERMAN OLANO;PUERTO CARRENO;VICHADA;COLOMBIA;SURAMERICA;P28A;T;N;1;1,67;0;2;0;0;27;0
01-ene-22 00:00:00;0EC;SAE;SJE;SAE;SAN JOSE DEL GUAVIARE;GUAVIARE;COLOMBIA;SURAMERICA;MFS;MIRAFLORES;MIRAFLORES - GUAVIARE;GUAVIARE;COLOMBIA;SURAMERICA;C207;T;N;2;1,34;0;10;0;0;24;0
01-ene-22 00:00:00;0EC;SAE;SJE;SAE;SAN JOSE DEL GUAVIARE;GUAVIARE;COLOMBIA;SURAMERICA;PCE;CUMARIBO;PUERTO CARRENO;VICHADA;COLOMBIA;SURAMERICA;C207;T;N;1;1,67;0;0;0;0;13;0
01-ene-22 00:00:00;0EC;SAE;SRO;SAE;SANTA ROSALIA;VICHADA;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;P28A;T;N;1;1,5;0;3;0;0;27;0
01-ene-22 00:00:00;0EC;SAE;SVI;SAE;SAN VICENTE DEL CAGUAN;CAQUETA;COLOMBIA;SURAMERICA;PSO;PASTO - ANTONIO NARIQO;PASTO;NARINO;COLOMBIA;SURAMERICA;C207;T;N;1;1,25;0;3;0;0;45;0
01-ene-22 00:00:00;0EC;SAE;TAP;SAE;LETICIA;AMAZONAS;COLOMBIA;SURAMERICA;LET;LETICIA-ALFREDO VASQUEZ COBO;LETICIA;AMAZONAS;COLOMBIA;SURAMERICA;C207;T;N;1;0,58;0;2;0;0;0;0
01-ene-22 00:00:00;0EC;SAE;TAP;SAE;LETICIA;AMAZONAS;COLOMBIA;SURAMERICA;SVI;SAN VICENTE DEL CAGUAN;SAN VICENTE DEL CAGUAN;CAQUETA;COLOMBIA;SURAMERICA;C207;T;N;1;2,5;0;3;0;0;45;0
01-ene-22 00:00:00;0EC;SAE;TAP;SAE;LETICIA;AMAZONAS;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;C207;T;N;1;3,5;0;4;0;0;12;0
01-ene-22 00:00:00;0EC;SAE;VVC;SAE;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;A02;CA¥O COLORADO;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;C207;T;N;1;2,33;0;1;0;0;10;0
01-ene-22 00:00:00;0EC;SAE;VVC;SAE;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;A06;EL ENCANTO;EL ENCANTO;AMAZONAS;COLOMBIA;SURAMERICA;C207;T;N;1;2,5;0;1;0;0;10;0
01-ene-22 00:00:00;0EC;SAE;VVC;SAE;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;BEN;BENEFICENCIA DE CUNDINAMARCA;BOGOTA;DISTRITO CAPITAL;COLOMBIA;SURAMERICA;P28A;T;N;1;2,33;0;1;0;0;46;0
01-ene-22 00:00:00;0EC;SAE;VVC;SAE;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;BMG;BARRANCO MINAS;GUAINIA (BARRANCO MINAS);GUAINIA;COLOMBIA;SURAMERICA;P28A;T;N;1;1,92;0;1;0;0;45;0
01-ene-22 00:00:00;0EC;SAE;VVC;SAE;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;EYP;EL YOPAL;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;P28A;T;N;1;0,83;0;3;0;0;45;0
01-ene-22 00:00:00;0EC;SAE;VVC;SAE;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;GYM;GUAYMARAL;CHIA;CUNDINAMARCA;COLOMBIA;SURAMERICA;P28A;T;N;1;0,83;0;1;0;0;45;0
01-ene-22 00:00:00;0EC;SAE;VVC;SAE;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;LCH;LA CHORRERA - VIRGILIO BARCO VARGAS;LA CHORRERA;AMAZONAS;COLOMBIA;SURAMERICA;C207;T;N;1;2,08;0;3;0;0;0;0
01-ene-22 00:00:00;0EC;SAE;VVC;SAE;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;PCE;CUMARIBO;PUERTO CARRENO;VICHADA;COLOMBIA;SURAMERICA;C207;T;N;1;1,75;0;2;0;0;14;0
01-ene-22 00:00:00;0EC;SAE;VVC;SAE;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;PCE;CUMARIBO;PUERTO CARRENO;VICHADA;COLOMBIA;SURAMERICA;P28A;T;N;1;1,83;0;1;0;0;45;0
01-ene-22 00:00:00;0EC;SAE;VVC;SAE;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;PCR;GERMAN OLANO;PUERTO CARRENO;VICHADA;COLOMBIA;SURAMERICA;P28A;T;N;1;3,25;0;0;0;0;0;0
01-ene-22 00:00:00;0EC;SAE;VVC;SAE;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;SAN JOSE DEL GUAVIARE;GUAVIARE;COLOMBIA;SURAMERICA;C207;T;N;1;0,83;0;0;0;0;10;0
01-ene-22 00:00:00;0EC;SAE;VVC;SAE;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;SRO;SANTA ROSALIA;SANTA ROSALIA;VICHADA;COLOMBIA;SURAMERICA;P28A;T;N;1;1,5;0;1;0;0;45;0
01-ene-22 00:00:00;0EC;SAE;VVC;SAE;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;TAP;TARAPACA;LETICIA;AMAZONAS;COLOMBIA;SURAMERICA;C207;T;N;2;7,41;0;4;0;0;30;0
01-ene-22 00:00:00;0ED;GOOD FLY CO SAS;AXM;GOOD FLY CO SAS;ARMENIA;QUINDIO;COLOMBIA;SURAMERICA;IBE;PERALES;IBAGUE;TOLIMA;COLOMBIA;SURAMERICA;PA34;T;N;1;0,5;0;2;0;0;0;0
01-ene-22 00:00:00;0ED;GOOD FLY CO SAS;CAQ;GOOD FLY CO SAS;CAUCASIA;ANTIOQUIA;COLOMBIA;SURAMERICA;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;ANTIOQUIA;COLOMBIA;SURAMERICA;PA34;T;N;5;4,6;0;9;0;0;220;0
01-ene-22 00:00:00;0ED;GOOD FLY CO SAS;EOH;GOOD FLY CO SAS;MEDELLIN;ANTIOQUIA;COLOMBIA;SURAMERICA;AXM;EL EDEN;ARMENIA;QUINDIO;COLOMBIA;SURAMERICA;PA34;T;N;1;0,67;0;0;0;0;0;0
01-ene-22 00:00:00;0ED;GOOD FLY CO SAS;EOH;GOOD FLY CO SAS;MEDELLIN;ANTIOQUIA;COLOMBIA;SURAMERICA;CAQ;CAUCASIA- JUAN H. WHITE;CAUCASIA;ANTIOQUIA;COLOMBIA;SURAMERICA;PA34;T;N;5;4,54;0;9;0;0;0;0
01-ene-22 00:00:00;0ED;GOOD FLY CO SAS;EOH;GOOD FLY CO SAS;MEDELLIN;ANTIOQUIA;COLOMBIA;SURAMERICA;NVA;NEIVA - BENITO SALAS;NEIVA;HUILA;COLOMBIA;SURAMERICA;PA34;T;N;1;1,55;0;2;0;0;0;0
01-ene-22 00:00:00;0ED;GOOD FLY CO SAS;EOH;GOOD FLY CO SAS;MEDELLIN;ANTIOQUIA;COLOMBIA;SURAMERICA;PPN;GUILLERMO LEON VALENCIA;POPAYAN;CAUCA;COLOMBIA;SURAMERICA;PA34;T;N;1;1,75;0;2;0;0;0;0
01-ene-22 00:00:00;0ED;GOOD FLY CO SAS;EOH;GOOD FLY CO SAS;MEDELLIN;ANTIOQUIA;COLOMBIA;SURAMERICA;URR;URRAO;URRAO;ANTIOQUIA;COLOMBIA;SURAMERICA;PA34;T;N;1;0,42;0;2;0;0;0;0
01-ene-22 00:00:00;0ED;GOOD FLY CO SAS;IBE;GOOD FLY CO SAS;IBAGUE;TOLIMA;COLOMBIA;SURAMERICA;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;ANTIOQUIA;COLOMBIA;SURAMERICA;PA34;T;N;1;0,77;0;0;0;0;0;0
01-ene-22 00:00:00;0ED;GOOD FLY CO SAS;NVA;GOOD FLY CO SAS;NEIVA;HUILA;COLOMBIA;SURAMERICA;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;ANTIOQUIA;COLOMBIA;SURAMERICA;PA34;T;N;1;1,37;0;2;0;0;50;0
01-ene-22 00:00:00;0ED;GOOD FLY CO SAS;PPN;GOOD FLY CO SAS;POPAYAN;CAUCA;COLOMBIA;SURAMERICA;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;ANTIOQUIA;COLOMBIA;SURAMERICA;PA34;T;N;1;1,62;0;2;0;0;50;0
01-ene-22 00:00:00;0ED;GOOD FLY CO SAS;URR;GOOD FLY CO SAS;URRAO;ANTIOQUIA;COLOMBIA;SURAMERICA;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;ANTIOQUIA;COLOMBIA;SURAMERICA;PA34;T;N;1;0,37;0;2;0;0;100;0
01-ene-22 00:00:00;1AE;AERO APOYO;7GC;AERO APOYO;TRINIDAD;CASANARE;COLOMBIA;SURAMERICA;EYP;EL YOPAL;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;C172;T;N;1;0,83;0;2;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;9DE;AERO APOYO;LA PRIMAVERA;VICHADA;COLOMBIA;SURAMERICA;EYP;EL YOPAL;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;C206;T;N;1;0,83;0;4;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;9DE;AERO APOYO;LA PRIMAVERA;VICHADA;COLOMBIA;SURAMERICA;SRO;SANTA ROSALIA;SANTA ROSALIA;VICHADA;COLOMBIA;SURAMERICA;C206;T;N;1;0,17;0;0;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;AUC;AERO APOYO;ARAUCA - MUNICIPIO;ARAUCA;COLOMBIA;SURAMERICA;EYP;EL YOPAL;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;C206;T;N;1;1,17;0;5;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;EYP;AERO APOYO;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;7GC;SAN FELIPE DEL PAUTO;TRINIDAD;CASANARE;COLOMBIA;SURAMERICA;C172;T;N;1;0,83;0;0;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;EYP;AERO APOYO;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;9DE;LUNA PARK;LA PRIMAVERA;VICHADA;COLOMBIA;SURAMERICA;C206;T;N;1;0,92;0;4;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;EYP;AERO APOYO;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;AUC;ARAUCA - SANTIAGO PEREZ QUIROZ;ARAUCA - MUNICIPIO;ARAUCA;COLOMBIA;SURAMERICA;C206;T;N;1;1,17;0;5;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;EYP;AERO APOYO;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;EYP;EL YOPAL;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;C172;T;N;2;0,58;0;0;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;EYP;AERO APOYO;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;EYP;EL YOPAL;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;C206;T;N;2;4;0;0;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;EYP;AERO APOYO;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;PZA;PAZ DE ARIPORO;PAZ DE ARIPORO;CASANARE;COLOMBIA;SURAMERICA;C206;T;N;1;0,33;0;4;0;0;0;0
